product,type,logical_bytes,field_bytes,entries_per_key,keys,operation,connections,qps,p50_ms,p99_ms,p999_ms,requests,elapsed_seconds,seconds,client_cpu_cores,rx_mib_s
redis,hash,1048576,128,8192,64,HGETALL,16,1132.12,14.015,25.983,29.183,9065,9.23347698499856,8,1.955,1335.594814453125
valkey,hash,1048576,128,8192,64,HGETALL,16,392.52,41.215,46.335,71.679,3151,9.234570148000785,8,1.084,463.065888671875
lavik,hash,1048576,128,8192,64,HGETALL,80,1524.33,29.695,299.007,309.247,12244,9.283886668999912,8,2.852,1798.28841796875
redis,hash,1048576,128,8192,64,HGETALL,80,1136.61,69.119,134.143,158.719,9124,9.283556467999006,8,2.441,1340.894287109375
valkey,hash,1048576,128,8192,64,HGETALL,80,295.41,270.335,522.239,532.479,2406,9.28228126400063,8,0.871,348.4980859375
lavik,hash,1048576,128,8192,64,HSET,80,6470.51,0.223,99.839,103.935,52016,9.281995427998481,8,0.098,1.14603515625
redis,hash,1048576,128,8192,64,HSET,80,445582.2,0.175,0.343,0.439,3565338,9.28405532400211,8,6.392,78.9196484375
valkey,hash,1048576,128,8192,64,HSET,80,541152.43,0.143,0.279,0.423,4329884,9.283756919998268,8,7.526,95.8466796875
lavik,hash,1048576,128,8192,64,HSET,320,6445.59,0.263,403.455,411.647,52957,9.331092129999888,8,0.135,1.14162109375
redis,hash,1048576,128,8192,64,HSET,320,734709.07,0.415,0.991,1.591,5879671,9.334193663002225,8,9.896,130.127998046875
valkey,hash,1048576,128,8192,64,HSET,320,804307.55,0.327,1.543,3.247,6440697,9.333433919997333,8,10.529,142.454892578125
lavik,hash,1048576,128,8192,64,HSET,1280,6925.4,109.055,974.847,1040.383,58036,10.632796660000167,8,0.32,1.226611328125
redis,hash,1048576,128,8192,64,HSET,1280,919217.58,1.167,4.575,10.239,7375311,9.586784436000016,8,12.977,162.807451171875
valkey,hash,1048576,128,8192,64,HSET,1280,749935.4,1.679,4.015,11.455,6007212,9.63586243499958,8,10.42,132.82498046875
lavik,hash,1048576,128,8192,64,HSET,2560,7018.09,270.335,1392.639,1409.023,59513,10.934066634999908,8,0.572,1.24302734375
redis,hash,1048576,128,8192,64,HSET,2560,933592.23,2.447,6.911,23.935,7496852,9.937536620000174,8,13.937,165.35345703125
valkey,hash,1048576,128,8192,64,HSET,2560,720138.98,3.535,6.943,25.727,5780099,9.936269369998627,8,10.68,127.5475
